rating,review_text,customer
5,"I was so nervous about talking to a financial advisor and over coming the jargon which is used in their pension policies, but after talking to my advisor, within seconds, we were talking as if we were friends, it made me feel so much at ease,if a question was asked and I didn't fully understand, he then explained it in a much better way, which made the whole experience so easy. I thank your company so much for giving me this person to talk to as he was absolutely brilliant.",Ascot Lloyd
5,All was been good and helpful ,Ascot Lloyd
5,Helpful staff.,Ascot Lloyd
5,A very professional gentleman put my mind at ease and reassured me about my investment.,Ascot Lloyd
5,"Had a review of my finances with Mustafa, he was excellent in answering  my questions,explained everything  very polite & welcoming, a pleasure to deal with. Well done. ",Ascot Lloyd
5,Very helpful and quick response. ,Ascot Lloyd
5,"Honest, factual and timely. What more could I ask for ",Ascot Lloyd
5,I have been using Ascot Lloyd for a number of years and have always had a good experience. They are clear in their advise and happy to take questions if you have any. Their attention to detail is second to known. I would thoroughly recommend Ascot Lloyd for any financial advice.,Ascot Lloyd
5,"It was our first Annual Review with Phil Addy. He was thorough, informative and listened to our views.",Ascot Lloyd
4,Mike brown explained everything very concisely and clearly,Ascot Lloyd
5,"Our Adviser is always quick to respond if we have a query. Knows what he can do for us, very polite and understanding to our specific needs. Dose not take long to get things progressing.",Ascot Lloyd
4,After no contact for several years I discovered you had an incorrect Email address. This has been sorted and I have no complaints about subsequent contact,Ascot Lloyd
5,Amardeep was very helpful and gave clear guidance.,Ascot Lloyd
5,Mike was so helpful and understanding and his advice was what my wife and I needed considering watching has hating me health wise. ,Ascot Lloyd
3,Some useful information but in some areas not concise enough. ,Ascot Lloyd
5,Always listens to and  gives comprehensive advice.,Ascot Lloyd
4,"They are always helpful, they give clear explanation to enable me to make the right finical decisions .",Ascot Lloyd
5,All my questions were answered. Thanks. ,Ascot Lloyd
1,Not very helpful. You live abroad but forced to maintain a SIPP in the UK? No thanks.,Ascot Lloyd
5,"The advisor was extremely helpful with my enquiry. Nothing was a problem, she was very knowledgable, she answers all my questions, she made me feel at ease.",Ascot Lloyd
5,Raj is so efficient and polite a real pleasure to deal with. Sorted our query out very efficiently ,Ascot Lloyd
